Duration,"Engine Speed (RPM)","Vehicle Speed (Mph)",Gear,"Manifold Pressure (mbar)","Boost (psi)","Throttle Position (%)","Injector Duration (ms)","Duty Cycle (%)","Ignition Advance","Knock Retard","Air Temperature (F)","Coolant Temperature (F)","O2 Voltage",Lambda,"Air Fuel Ratio",VTEC,CEL
"72:4354:29.928",1171,"74.4",5,0,"0.0","0","2.37","2","24.50","0.00","118.94","203.00","3.90","0.00","0.00",OFF,
"72:4354:29.960",1171,"74.4",5,0,"0.0","0","2.37","2","24.50","0.00","118.94","203.00","3.90","0.00","0.00",OFF,
"72:4354:29.991",1174,"74.4",5,0,"0.0","0","2.39","2","24.50","0.00","118.94","203.00","3.90","0.00","0.00",OFF,
"72:4354:30.038",1166,"0.0",0,0,"0.0","0","2.39","2","24.50","0.00","118.94","203.00","3.90","0.00","0.00",OFF,
"72:4354:30.069",1166,"0.0",0,0,"0.0","0","2.38","2","24.50","0.00","118.94","203.00","3.90","0.00","0.00",OFF,
"72:4354:30.100",1169,"0.0",0,0,"0.0","0","2.35","2","24.25","0.00","118.94","203.00","3.90","0.00","0.00",OFF,
"72:4354:30.116",1163,"0.0",0,0,"0.0","0","2.36","2","24.50","0.00","118.94","203.00","3.90","0.00","0.00",OFF,
"72:4354:30.162",1166,"0.0",0,0,"0.0","0","2.35","2","24.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.194",1168,"0.0",0,0,"0.0","0","2.34","2","24.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.225",1162,"0.0",0,0,"0.0","0","2.36","2","24.25","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:30.256",1161,"0.0",0,0,"0.0","0","2.37","2","24.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.287",1163,"0.0",0,0,"0.0","0","2.36","2","24.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.318",1150,"0.0",0,0,"0.0","0","2.39","2","24.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.350",1151,"0.0",0,0,"0.0","0","2.36","2","24.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.381",1148,"0.0",0,0,"0.0","0","2.35","2","23.75","0.00","119.84","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.412",1138,"0.0",0,0,"0.0","0","2.39","2","23.50","0.00","119.84","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.443",1138,"0.0",0,0,"0.0","0","2.38","2","23.50","0.00","119.84","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.474",1135,"0.0",0,0,"0.0","0","2.38","2","23.50","0.00","119.84","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.506",1139,"0.0",0,0,"0.0","0","2.36","2","23.25","0.00","119.84","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.552",1131,"0.0",0,0,"0.0","0","2.37","2","23.25","0.00","119.84","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.584",1131,"0.0",0,0,"0.0","0","2.37","2","23.25","0.00","119.84","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.615",1132,"0.0",0,0,"0.0","0","2.36","2","23.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.630",1127,"0.0",0,0,"0.0","0","2.37","2","23.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.677",1128,"0.0",0,0,"0.0","0","2.35","2","23.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.708",1126,"0.0",0,0,"0.0","0","2.34","2","23.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.740",1122,"0.0",0,0,"0.0","0","2.35","2","23.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.771",1122,"0.0",0,0,"0.0","0","2.34","2","23.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.802",1120,"0.0",0,0,"0.0","0","2.35","2","23.00","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:30.833",1122,"0.0",0,0,"0.0","0","2.37","2","22.75","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:30.864",1114,"0.0",0,0,"0.0","0","2.37","2","22.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.896",1112,"0.0",0,0,"0.0","0","2.37","2","22.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.927",1114,"0.0",0,0,"0.0","0","2.36","2","22.50","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:30.958",1106,"0.0",0,0,"0.0","0","2.38","2","22.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:30.989",1107,"0.0",0,0,"0.0","0","2.36","2","22.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.020",1106,"0.0",0,0,"0.0","0","2.35","2","22.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.067",1101,"0.0",0,0,"0.0","0","2.37","2","22.50","0.00","118.94","177.80","3.88","0.00","0.00",OFF,
"72:4354:31.098",1101,"0.0",0,0,"0.0","0","2.36","2","22.50","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.130",1099,"0.0",0,0,"0.0","0","2.36","2","22.25","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.145",1100,"0.0",0,0,"0.0","0","2.33","2","22.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.192",1092,"0.0",0,0,"0.0","0","2.34","2","22.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.223",1093,"0.0",0,0,"0.0","0","2.34","2","22.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.254",1092,"0.0",0,0,"0.0","0","2.40","2","22.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.286",1083,"0.0",0,0,"0.0","0","2.43","2","22.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.317",1083,"0.0",0,0,"0.0","0","2.36","2","22.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.348",1083,"0.0",0,0,"0.0","0","2.41","2","22.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.379",1086,"0.0",0,0,"0.0","0","2.43","2","22.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.410",1078,"0.0",0,0,"0.0","0","2.42","2","22.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.442",1078,"0.0",0,0,"0.0","0","2.42","2","22.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.473",1080,"0.0",0,0,"0.0","0","2.40","2","22.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.504",1076,"0.0",0,0,"0.0","0","2.40","2","21.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.535",1077,"0.0",0,0,"0.0","0","2.40","2","21.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.582",1076,"0.0",0,0,"0.0","0","2.37","2","22.00","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
"72:4354:31.613",1080,"0.0",0,0,"0.0","0","2.38","2","21.75","0.00","118.94","177.80","3.90","0.00","0.00",OFF,
